"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C29,C12,C23,C35,C41";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"2.2uF";;;
2;"U14";"SOT-363_SC-70-6";1;"MIC94090YC6";;;
3;"C18,C17,C43,C28,C36,C40,C15,C42,C8,C38,C19,C24,C39,C37,C25";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"0.1uF";;;
4;"TP11";"TestPoint_Pad_D1.0mm";1;"SS1_an";;;
5;"D5";"TO-5-3";1;"D_Photo";;;
6;"TP7";"TestPoint_Pad_D1.0mm";1;"MISO_an";;;
7;"C31,C30";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10pF";;;
8;"R14,R13,R22,R17,R16,R15,R20,R18,R21,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"10kR";;;
9;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"453kR";;;
10;"TP4";"TestPoint_Pad_1.5x1.5mm";1;"2V5";;;
11;"TP6";"TestPoint_Pad_1.5x1.5mm";1;"24V";;;
12;"TP9,TP8";"TestPoint_Pad_D1.0mm";2;"MOSI_an";;;
13;"U7";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
14;"C34,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7uF";;;
15;"L2";"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder";1;"1uH";;;
16;"J6";"PinSocket_2x07_P1.27mm_Vertical_SMD";1;"Conn_02x07_Odd_Even";;;
17;"U11";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP1501-30xSN";;;
18;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
19;"C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10 nF";;;
20;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1MR";;;
21;"U4";"SOT-23-5";1;"SPX3819M5-L-2-5";;;
22;"U8";"SOT-23-5_HandSoldering";1;"SPX3819M5-L-3-3";;;
23;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"249kR";;;
24;"D1";"DIO_RB051MM_ROM";1;"D_Schottky";;;
25;"C7";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"180uF";;;
26;"C27";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"0.1uF";;;
27;"TP5";"TestPoint_Pad_1.5x1.5mm";1;"1V2";;;
28;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"ABM8G";;;
29;"U13";"RU-16_ADI";1;"AD5761RBRUZ-RL7";;;
30;"U12";"TSSOP20_ST_MCH";1;"MCP3561R-E/ST";;;
31;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"13.3kR";;;
32;"C13";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"4.7uF";;;
33;"C10,C22,C1,C3,C6,C4,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";7;"1uF";;;
34;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"ICE40UP5K-SG48ITR";;;
35;"TP10";"TestPoint_Pad_D1.0mm";1;"SS0_an";;;
36;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"5v";;;
37;"TP2";"TestPoint_Pad_1.5x1.5mm";1;"3V3";;;
38;"R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100kR";;;
39;"U5";"SOT-23-5";1;"LMR64010XMF";;;
40;"R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10R";;;
41;"C2,C5,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10nF";;;
42;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
43;"U6";"SOT-563";1;"TLV62568ADRL";;;
44;"TP3";"TestPoint_Pad_1.5x1.5mm";1;"3V3A";;;
45;"U3";"SOT-23-5";1;"SPX3819M5-L-1-2";;;
46;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"700R";;;
47;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"500R";;;
48;"U10,U16";"SOT-23-5";2;"OPA310xDBV";;;
49;"D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"RED";;;
50;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"GREEN";;;
51;"TP13";"TestPoint_Pad_D1.0mm";1;"MISO_mem";;;
52;"U9";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q32JVSS";;;
53;"J4";"691137710002";1;"PZT";;;
54;"TP12";"TestPoint_Pad_D1.0mm";1;"MOSI_mem";;;
55;"TP14";"TestPoint_Pad_D1.0mm";1;"SS0_mem";;;
56;"C33,C32,C44";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
57;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"24kR";;;
58;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"240R";;;
59;"TPS1_m1";"TestPoint_Pad_D1.0mm";1;"SS1_mem";;;
60;"F1";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"0ZCG0075FF2C";;;
61;"FL1";"BEADC1608X95N";1;"BLM18PG121SN1D";;;
62;"J3";"691137710002";1;"Laser";;;
63;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"25mR";;;
64;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"BLUE";;;
65;"J5";"microSD_Molex_WM6698CT-ND";1;"Micro_SD_Card";;;
66;"L1";"IND_BOURNS_CC453232";1;"CC453232-120KL";;;
67;"U2";"SOT-23-5_HandSoldering";1;"INA180";;;
68;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"SPI Header";;;
69;"U15";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2562";;;
70;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330R";;;
71;"J2";"connector_Harwin_G125-MH104M4-04AD000P";1;"G125-MH104M4-04AD000P";;;
72;"TP15";"TestPoint_Pad_D1.0mm";1;"SCLK_mem";;;
73;"C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"33nF";;;
