"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3,U6";"SOT-563";2;"TLV62568ADRL";;;
2;"R27,R26,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100kR";;;
3;"L3,L2";"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder";2;"1uH";;;
4;"C5,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
5;"C4,C34,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7uF";;;
6;"C29,C12,C23,C35,C41";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"2.2uF";;;
7;"C18,C17,C28,C36,C45,C40,C15,C42,C8,C38,C19,C24,C39,C37,C25";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"0.1uF";;;
8;"TP11";"TestPoint_Pad_D1.0mm";1;"SS1_an";;;
9;"D5";"TO-5-3";1;"D_Photo";;;
10;"TP7";"TestPoint_Pad_D1.0mm";1;"MISO_an";;;
11;"C31,C30";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10pF";;;
12;"R14,R13,R25,R22,R17,R16,R15,R20,R18,R21,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"10kR";;;
13;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"453kR";;;
14;"TP4";"TestPoint_Pad_1.5x1.5mm";1;"2V5";;;
15;"C21";"CP_EIA-7132-20_AVX-U_HandSolder";1;"120uF";;;
16;"TP6";"TestPoint_Pad_1.5x1.5mm";1;"24V";;;
17;"TP9,TP8";"TestPoint_Pad_D1.0mm";2;"MOSI_an";;;
18;"U7";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGTx";;;
19;"J6";"PinSocket_2x07_P1.27mm_Vertical_SMD";1;"Conn_02x07_Odd_Even";;;
20;"U11";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP1501-30xSN";;;
21;"C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10 nF";;;
22;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1MR";;;
23;"U4";"SOT-23-5";1;"SPX3819M5-L-2-5";;;
24;"U8";"SOT-23-5_HandSoldering";1;"SPX3819M5-L-3-3";;;
25;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"249kR";;;
26;"D1";"DIO_RB051MM_ROM";1;"D_Schottky";;;
27;"C7";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"180uF";;;
28;"C27";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"0.1uF";;;
29;"C43,C10,C22,C1,C3,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"1uF";;;
30;"TP5";"TestPoint_Pad_1.5x1.5mm";1;"1V2";;;
31;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"ABM8G";;;
32;"U13";"RU-16_ADI";1;"AD5761RBRUZ-RL7";;;
33;"U12";"TSSOP20_ST_MCH";1;"MCP3561R-E/ST";;;
34;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"13.3kR";;;
35;"C13";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"4.7uF";;;
36;"U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"ICE40UP5K-SG48ITR";;;
37;"TP10";"TestPoint_Pad_D1.0mm";1;"SS0_an";;;
38;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"5v";;;
39;"TP2";"TestPoint_Pad_1.5x1.5mm";1;"3V3";;;
40;"U5";"SOT-23-5";1;"LMR64010XMF";;;
41;"R7,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10R";;;
42;"C2,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10nF";;;
43;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
44;"U14";"SOT25_DIO";1;"AP22802AW5-7";;;
45;"TP3";"TestPoint_Pad_1.5x1.5mm";1;"3V3A";;;
46;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"700R";;;
47;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"500R";;;
48;"U10,U16";"SOT-23-5";2;"OPA310xDBV";;;
49;"D3";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"RED";;;
50;"D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"GREEN";;;
51;"TP13";"TestPoint_Pad_D1.0mm";1;"MISO_mem";;;
52;"U9";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q32JVSS";;;
53;"J4";"691137710002";1;"PZT";;;
